Month,Total Precipitation
2015-08,28.1200008866
2015-09,54.0360020478
2015-10,135.60600467199998
2015-11,313.5490110988
2015-12,579.8670219728
2016-01,864.293031517
2016-02,237.12000816800003
2016-03,654.4950243374001
2016-04,259.883008979
2016-05,98.0920033618
2016-06,62.922002156400005
2016-07,17.4240004918
2016-08,19.1420005318
2016-09,31.324001010000003
2016-10,471.2180178
2016-11,365.4980134318
2016-12,595.477022235
2017-01,1139.7420426410001
2017-02,1000.5930373439999
2017-03,376.442013125
2017-04,360.18101299040006
2017-05,68.6570020778
2017-06,36.585001208600005
2017-07,18.2130005662
2017-08,35.2760013648
2017-09,54.1290018864
2017-10,76.46600258160001
2017-11,419.1620154384
2017-12,166.2180054324
2018-01,523.4470200064
2018-02,212.39800770120002
2018-03,591.7070215504001
2018-04,295.35401036999997
2018-05,91.2880031144
2018-06,18.1250005706
2018-07,42.514001440600005
2018-08,19.1710005458
2018-09,28.3420008916
2018-10,113.28600359680001
2018-11,433.66601571620004
2018-12,393.72501437899996
2019-01,694.005026466
2019-02,1012.216036206
2019-03,537.9250203720001
2019-04,184.48000675019998
2019-05,300.38101066139996
2019-06,20.215000622
2019-07,15.443000481399999
2019-08,27.205000857
2019-09,84.9490029306
2019-10,62.137002139399996
2019-11,307.93301091800004
2019-12,658.581024221
2020-01,354.156012604
2020-02,204.15800720000001
2020-03,457.792016593
2020-04,306.832011415
2020-05,152.66700526340003
2020-06,31.341001061
2020-07,15.279000394199999
2020-08,22.403000642400002
2020-09,24.7440007968
2020-10,63.739002238400005
2020-11,229.37800796200003
2020-12,334.860012397
2021-01,550.28302012
2021-02,280.2490102042
2021-03,297.083010874
2021-04,94.80000302639999
2021-05,41.576001286
2021-06,35.2450011464
2021-07,39.222001244800005
2021-08,22.793000551800002
2021-09,55.9040019856
2021-10,408.152015225
2021-11,225.2420079918
2021-12,702.6080257619999
2022-01,198.77200708499998
2022-02,182.23800639200002
2022-03,235.20700845300001
2022-04,195.72100697419998
2022-05,53.631001729199994
2022-06,51.03900152280001
2022-07,26.734000870800003
2022-08,53.3600015998
2022-09,92.6170028078
2022-10,66.5780021776
2022-11,316.21301152899997
2022-12,781.485029298
2023-01,884.475032548
2023-02,510.28101929599995
2023-03,805.111029777
2023-04,108.12600355000001
2023-05,121.48400392980001
2023-06,44.195001201800004
2023-07,13.45700036
2023-08,148.8250053602
